ID,CUENTA,PROMEDIO
466,47346,6.2
467,48724,10
468,48250,7.6
469,49042,7.2
470,47065,10
471,45851,10
472,47056,9.8
473,49030,9.9
474,46144,6.6
475,47091,6.2
476,49543,9.1
477,46819,6.9
478,46777,5.7
479,49562,5.7
480,46289,8.6
481,49093,7.7
482,45800,6
483,45754,5.4
484,47581,10
485,48188,7.4
486,49536,8.7
487,48384,5.9
488,46462,10
489,46697,10
490,49245,6.7
491,45831,7.4
492,45938,9
493,46088,6.2
494,48676,7.1
495,46688,8.3
496,46503,6.7
497,47768,10
498,48451,6
499,47460,7
500,45708,5.8
501,49213,8.2
502,48545,9.2
503,47881,5.6
504,48130,6.6
505,46089,8
506,46459,7
507,47702,8.5
508,45897,8
509,45986,8.1
510,48558,10
511,49340,6.1
512,48108,9.3
513,46527,9.9
514,48277,5.9
515,46116,5.1
516,48303,8
517,47744,7.5
518,46089,9.3
519,48900,8
520,48714,5.5
521,49080,6.1
522,46813,7
523,47992,9
524,45936,8.5
525,47676,5.3
526,49213,10
527,48644,10
528,45881,8.1
529,46227,5.2
530,49081,7
531,49109,5
532,46435,7.2
533,46647,6.2
534,46216,6.3
535,46226,7.3
536,47710,7.9
537,48512,9.5
538,47002,8.8
539,48617,10
540,49093,7.7
541,46403,7
542,48473,8.6
543,47743,5.5
544,47239,10
545,46067,9.9
546,48265,6.8
547,49219,10
548,48493,10
549,47503,9.1
550,46560,8.6
551,48906,5.5
552,46860,10
553,47917,8.1
554,46966,10
555,48551,6.1
556,47912,10
557,49130,9.3
558,46413,6.7
559,46702,7.7
560,48549,10
561,48619,5.7
562,46514,7.1
563,49313,9
564,47087,10
565,47648,5.5
566,47795,7.3
567,46159,10
568,46544,7.8
569,48448,5
570,48698,5.5
571,48335,5.7
572,46571,8.2
573,46034,9.2
574,49604,9.3
575,47556,7.8
576,46012,5.4
577,48990,9.6
578,49561,10
579,47328,9
580,46023,10
581,47630,7.5
582,48822,6.6
583,47656,6.4
584,46207,10
585,48017,6.3
586,47536,8.9
587,46077,6.9
588,49181,7.8
589,49580,9.4
590,49110,5.5
591,45906,6.4
592,46559,8
593,47898,6
594,47845,6.9
595,48141,10
596,48059,5.8
597,48552,10
598,49568,9
599,46970,9.6
600,49053,8.2
601,47562,5.2
602,47622,7.9
603,49670,10
604,46786,9.3
605,47184,10
606,49484,6
607,49037,7.2
608,45891,9.7
609,47529,7.9
610,46011,10
611,46019,8.4
612,46618,7.1
613,48411,10
614,48804,7.6
615,47143,6.4
616,47297,6.9
617,49423,6.1
618,46624,8.1
619,48265,10
620,45923,9
621,46772,7.7
622,46435,7.3
623,48770,8.1
624,47871,8.6
625,47339,7.8
626,47246,10
627,47805,6.5
628,49533,9.9
629,49475,10
630,46320,7.6
631,46444,6.4
632,48359,8.4
633,47347,8.1
634,48160,5.5
635,45894,7.2
636,46344,10
637,49652,7.6
638,46954,6.1
639,47048,10
640,49043,9.2
641,48393,5.8
642,47979,9.3
643,46246,6.5
644,47713,5.3
645,47539,8.8
646,46366,7.3
647,49530,5.6
648,46994,8.4
649,47836,7
650,48022,5.3
651,48451,6.2
652,48465,7.2
653,46774,5.9
654,47890,5.3
655,49293,8.3
656,47324,6.4
657,48732,8.4
658,46751,6.1
659,47522,6.4
660,48613,5
661,48376,8.3
662,49275,9.7
663,49379,7.8
664,47007,9.8
665,48481,10
666,45774,6.1
667,46564,8.3
668,49542,6
669,48416,10
670,48804,9.2
671,47628,9.5
672,49209,6.3
673,49278,7.3
674,48659,9.4
675,46468,8.8
676,48421,10
677,48949,10
678,46063,7.2
679,48525,9.4
680,46594,6.4
681,47631,5.8
682,46850,5.6
683,49775,7.3
684,49135,6.1
685,47205,10
686,46237,9.2
687,47852,6.5
688,48799,6
689,48407,9.1
690,47600,8.6
691,47635,8.5
692,46251,5.1
693,49605,5.4
694,49060,10
695,49509,10
696,49778,7.7
697,48437,10
698,49512,8.4
699,48419,9.5
700,49435,5.9
701,46946,10
702,46350,5.6
703,47690,8
704,46747,7.2
705,47265,8.9
706,48593,5.6
707,49671,8
708,48090,8.7
709,48436,5.2
710,46209,6
711,47144,7.9
712,48828,7.9
713,49285,9.7
714,45972,10
715,48400,7
716,48576,7.5
717,48308,5
718,47446,6.3
719,48650,7.7
720,47029,9.9
721,46045,9.3
722,49400,6.3
723,48866,7.3
724,47691,9.4
725,48197,8
726,46706,9.5
727,48147,5.3
728,49034,8.5
729,49025,5.6
730,45995,9
731,47275,9
732,45914,9.4
733,46082,9.6
734,46864,7
735,48229,5.2
736,46870,5.2
737,46643,5.6
738,48496,5.8
739,46782,10
740,46246,6.6
741,47792,8.6
742,48062,10
743,47555,9
744,49616,7.8
745,46437,5.7
746,48055,5.7
747,47839,7.2
748,47544,6.6
749,49697,8.7
750,47102,5.7
751,46088,9.6
752,46526,7
753,46486,9.6
754,48859,10
755,47955,6.9
756,48162,7.5
757,46392,6.6
758,46829,10
759,49648,6
760,47382,6.2
761,49087,6.7
762,46890,8.3
763,48877,8.3
764,47306,9.6
765,47947,10
766,46370,9.1
767,45975,5.7
768,48313,7.9
769,46570,10
770,48500,5.3
771,49484,5.6
772,49587,10
773,46976,8.7
774,47870,8.5
775,48226,7.4
776,49772,10
777,48280,6
778,48872,6
779,45959,10
780,49696,5.4
781,48774,8.8
782,48366,8.7
783,46181,5.8
784,48075,7.1
785,46698,6.4
786,46028,8.8
787,47052,10
788,46591,9.6
789,49614,10
790,49883,10
791,48493,6.3
792,49039,7.2
793,49570,6.7
794,48656,6
795,48052,10
796,45902,5.4
797,47932,7.4
798,46931,5.6
799,46710,9
800,49118,6.1
801,48894,7.1
802,47989,10
803,49499,5.1
804,46133,10
805,48449,7.9
806,47909,10
807,49139,6.3
808,49044,9.3
809,48518,7.3
810,46654,8.4
811,49404,7.6
812,46078,6.4
813,47259,7.5
814,49837,8.9
815,49150,6.4
816,48075,6.4
817,48238,7.5
818,47922,7.2
819,48380,9
820,47972,9.2
821,49423,8
822,46729,8
823,46594,7.8
824,47975,9
825,47100,5.4
826,46098,8.7
827,46225,9.3
828,47564,10
829,48202,7
830,49268,6
831,49113,7
832,49598,5.6
833,48685,9.3
834,49524,9.6
835,49708,9.1
836,48529,7
837,48627,9
838,46583,7.5
839,48604,6.1
840,48553,7
841,49755,8
842,48885,5.8
843,49784,6.7
844,49503,5.2
845,48512,6
846,48159,6.9
847,46342,9.4
848,46849,5.5
849,49159,8.7
850,49411,5
851,48096,10
852,49832,8.8
853,47855,10
854,49878,10
855,49807,8
856,48806,10
857,48342,10
858,46725,5.3
859,47085,9.5
860,48049,8.5
861,48698,8.3
862,48884,9.7
863,49944,7.2
864,47877,10
865,47610,9.7
866,48586,10
867,47676,9.3
868,49416,9.9
869,48994,6.3
870,46328,10
871,49337,10
872,48403,7.5
873,47261,7.9
874,49819,5.2
875,46249,6.6
876,47948,8.4
877,48716,8.7
878,46797,5.8
879,48088,10
880,47039,10
881,48497,10
882,48924,6
883,46101,6.5
884,47690,5.6
885,46057,8.3
886,47469,6.5
887,48594,7.5
888,47970,9
889,48784,7.7
890,47989,5.3
891,46915,6.4
892,49557,5.9
893,47933,5.5
894,48480,9.5
895,46643,8
896,48909,9.9
897,49016,8.2
898,49503,5.1
899,46663,6.4
900,49593,7.3
901,48278,5.3
902,48961,6.1
903,46301,7.8
904,48200,7
905,46315,7.1
906,49605,9
907,47540,8.2
908,48079,9.7
909,49802,7.5
910,46217,6.5
911,46110,8.8
912,47906,6.7
913,46209,9.5
914,46255,8.7
915,46914,9
916,46428,5.1
917,46938,10
918,47067,7.7
919,48801,6.7
920,46502,7
921,49730,5.4
922,48119,5.6
923,48741,8.9
924,47654,10
925,49736,8.7
926,46726,6.8
927,46471,9.2
928,47214,7.9
929,46117,8.1
930,49473,10
931,49749,10
932,48220,7.8
933,47467,6
934,49259,5.5
935,49792,5.3
936,48900,5.8
937,47593,10
938,47890,5.2
939,48764,10
940,47596,7.8
941,47895,6.6
942,48353,7.5
943,46711,5.1
944,49646,9.9
945,46566,5.2
946,48971,10
947,47761,9.3
948,48254,10
949,48750,6.7
950,49843,9
951,48420,5
952,47471,7.3
953,47305,5.4
954,46246,6.8
955,46505,6.2
956,46387,7
957,49851,9.6
958,47825,10
959,47654,5.5
960,47308,7
961,46596,7.9
962,48388,9.5
963,48951,6.4
964,46545,7.7
965,46453,9.9
966,47127,9.4
967,47605,5.7
968,48947,5.2
969,46129,7.8
970,49571,7
971,48644,5.2
972,46532,5.3
973,46649,10
974,46113,10
975,47343,5.8
976,46822,6
977,46469,10
978,46916,6.5
979,48954,5
980,49219,8.3
981,49015,8.7
982,48265,6.2
983,49618,9.2
984,47971,10
985,47256,9.2
986,49015,8.5
987,48289,5.1
988,46726,8.7
989,49387,9.6
990,48657,7.5
991,46244,7.3
992,47631,9.9
993,46928,10
994,48627,9.8
995,47756,10
996,47219,5.6
997,46482,6.3
998,48916,9
999,49142,6.9
1000,47842,10
1001,47923,9
1002,47578,8.6
1003,48600,7.6
1004,46510,9.8
1005,47912,6.4
1006,49166,9.7
1007,49664,8.6
1008,49820,9.7
1009,46820,10
1010,49717,7.2
1011,46324,10
1012,47890,9.8
1013,48598,6.4
1014,49286,6.5
1015,47127,8.6
1016,46242,8
1017,47787,8.7
1018,47342,10
1019,47694,7.4
1020,48246,7.5
1021,48989,5
1022,49295,7.6
1023,46498,8.9
1024,47774,6.9
1025,49576,10
1026,47098,7.6
1027,47470,8.3
1028,49750,6.9
1029,47916,8.4
1030,48159,8.4
1031,47311,6.4
1032,48829,5.6
1033,49164,7
1034,46452,8.7
1035,47645,6.6
1036,49267,5.2
1037,47034,8
1038,47207,6
1039,49156,5.9
1040,47162,8.9
1041,49736,8.4
1042,46744,10
1043,47793,5
1044,46532,7.7
1045,49905,9.6
1046,49964,8.1
1047,47070,10
1048,49296,10
1049,49569,8.4
1050,48877,7.8
1051,49962,6
1052,46927,10
1053,48427,6.1
1054,49611,6.1
1055,49808,7.2
1056,48895,10
1057,48353,10
1058,47732,9.2
1059,49781,8.9
1060,47750,8.2
1061,46922,5.9
1062,46644,10
1063,49700,5.6
1064,48377,9.4
1065,46741,9
1066,48944,10
1067,49452,10
1068,48162,9.9
1069,46461,7.4
1070,48580,9.9
1071,46299,5.1
1072,49775,10
1073,49223,10
1074,49844,7.7
1075,48902,8.1
1076,49373,10
1077,48977,6.2
1078,48614,7
1079,49834,8.5
1080,48323,8.7
1081,46377,7.2
1082,47336,9.8
1083,49296,8.5
1084,49235,8.9
1085,47371,8.6
1086,50021,9.1
1087,48396,6.8
1088,48171,5.7
1089,48681,10
1090,49108,10
1091,47886,7.6
1092,47820,7.1
1093,47245,8.8
1094,50146,5.8
1095,48492,7.3
1096,48519,6.8
1097,49812,6.9
1098,49368,9.8
1099,47493,7
1100,46869,9
1101,47849,9
1102,46828,5.5
1103,50141,10
1104,48477,8.4
1105,49186,6.3
1106,48521,6.3
1107,49188,6.6
1108,48913,7.5
1109,46988,6.6
1110,48774,10
1111,47884,5.1
1112,47370,9.7
1113,48972,9
1114,49807,7.7
1115,49690,7.2
1116,46820,10
1117,48186,9
1118,48605,7.2
1119,49711,10
1120,47315,8.4
1121,46820,8.4
1122,49416,9.7
1123,49100,8
1124,50028,7.8
1125,48149,10
1126,47429,8.9
1127,49823,8.1
1128,46567,10
1129,46386,10
1130,46984,10
1131,46757,7.5
1132,47473,8.6
1133,49145,7.2
1134,48571,10
1135,49270,5.1
1136,48056,7.3
1137,49510,5.1
1138,48651,5.6
1139,49499,7.1
1140,48479,8
1141,46256,5
1142,46434,7.6
1143,49173,10
1144,48180,6.1
1145,47944,6.1
1146,48849,5.8
1147,46686,10
1148,46844,10
1149,46435,10
1150,48038,5.1
1151,49704,9.9
1152,48498,10
1153,49237,7
1154,49350,9.6
1155,46897,7.4
1156,49375,5.7
1157,47652,7.2
1158,47192,10
1159,47939,7.6
1160,50016,10
1161,47582,10
1162,46635,8.6
1163,49741,7.7
1164,46273,9.5
1165,47043,5.8
1166,47154,7.9
1167,49451,5.3
1168,48242,9
1169,47057,5.7
1170,47670,7
1171,49095,8
1172,46606,5.6
1173,49766,9.5
1174,47600,6.6
1175,46524,9.1
1176,50155,7.6
1177,49526,10
1178,48990,6.2
1179,49077,7.2
1180,48044,7.4
1181,46667,8.5
1182,49421,6.3
1183,49400,8.6
1184,49549,10
1185,49544,5.4
1186,49229,10
1187,50206,5.5
1188,48288,9.6
1189,46603,5.4
1190,48594,8.5
1191,47115,9.5
1192,47375,7
1193,46424,9.5
1194,48072,6.9
1195,49522,8.2
1196,46798,5.9
1197,48140,8.4
1198,47842,10
1199,48895,8.8
1200,46604,8.4
1201,46541,9
1202,47508,7.2
1203,47481,5.8
1204,48675,5.1
1205,48671,10
1206,47951,5.7
1207,48309,9.1
1208,50025,8.9
1209,50162,5.8
1210,47463,8.3
1211,47366,5.1
1212,49091,10
1213,46743,5.7
1214,48672,7.9
1215,46559,8.4
1216,48160,7
1217,49241,6
1218,48324,8.6
1219,49243,7.8
1220,46857,9.1
1221,50073,7.6
1222,49767,8
1223,46885,10
1224,49368,10
1225,46981,10
1226,49734,5.7
1227,48369,10
1228,49921,9.1
1229,46442,10
1230,48735,9.7
1231,48156,7
1232,50232,5.4
1233,47700,10
1234,49905,6.4
1235,46398,9.5
1236,46931,9.7
1237,48276,9.4
1238,48889,8.8
1239,47610,9.8
1240,48476,8.1
1241,48793,9.9
1242,47905,6.3
1243,50299,8
1244,49453,9.5
1245,47292,9.7
1246,49459,5.8
1247,46398,9.5
1248,50112,10
1249,49734,10
1250,49636,6.5
1251,48986,10
1252,47216,10
1253,49072,8.1
1254,47604,8.9
1255,48025,9.7
1256,49693,5.9
1257,47517,5.5
1258,46828,8.6
1259,46796,7.1
1260,47296,10
1261,47318,5.2
1262,50333,10
1263,49428,10
1264,49729,8.9
1265,48104,7.7
1266,49906,7.9
1267,47765,7.5
1268,48412,7.8
1269,48366,10
1270,48212,7.6
1271,50067,9.4
1272,48694,7.7
1273,47101,9.1
1274,46962,5.4
1275,46893,9.5
1276,49815,9.2
1277,50177,9.4
1278,46597,9.8
1279,47214,7.5
1280,48215,9
1281,49528,5.7
1282,48970,10
1283,47639,8.3
1284,46592,5.8
1285,48686,10
1286,48402,9.4
1287,47365,5.6
1288,48450,9.8
1289,46405,10
1290,47915,5.3
1291,50247,6.4
1292,50111,7.7
1293,48268,10
1294,50213,7
1295,46609,9.6
1296,50376,6
1297,47074,9
1298,48600,5.9
1299,49671,9.5
1300,47434,8.1
1301,46803,6.4
1302,47092,5.8
1303,47079,7.8
1304,49305,9
1305,49530,6.6
1306,49485,9
1307,48870,9
1308,47444,9.4
1309,49318,10
1310,50050,9.7
1311,47711,6
1312,47037,6.3
1313,46482,9.6
1314,50284,7.4
1315,46532,9.8
1316,49905,6.1
1317,49182,6
1318,49968,8.2
1319,50235,10
1320,48820,5.9
1321,46708,6.1
1322,50273,5.5
1323,49598,9
1324,46645,5.9
1325,47398,9.7
1326,50377,7.5
1327,48461,10
1328,46627,7.5
1329,48687,5.8
1330,48581,7.4
1331,46625,8
1332,48557,7.3
1333,48249,9.1
1334,46579,9
1335,47774,5.9
1336,48553,10
1337,49534,6.4
1338,50123,9
1339,48860,6.5
1340,48222,7.2
1341,50058,6.9
1342,49796,7.3
1343,49208,6.8
1344,49417,5.7
1345,49597,5.7
1346,46926,6.2
1347,48328,5
1348,48084,9.9
1349,49895,7.8
1350,48548,6.1
1351,48701,10
1352,50004,10
1353,48955,6
1354,48824,6
1355,49715,6.1
1356,49243,6.6
1357,48647,5
1358,49095,9.2
1359,48850,9.3
1360,47668,10
1361,49358,5.8
1362,48534,9.7
1363,48905,9.5
1364,47846,7.5
1365,49211,10
1366,50023,8.6
1367,49233,7.8
1368,49767,7
1369,49468,10
1370,50282,7.4
1371,48764,8
1372,49255,10
1373,46829,10
1374,47319,9.6
1375,48310,8.6
1376,46971,9.8
1377,49419,5.8
1378,47057,8.3
1379,46827,8.7
1380,49616,10
1381,49342,8.5
1382,49598,8.7
1383,49837,10
1384,49093,7.5
1385,48482,10
1386,48206,7.6
1387,48655,10
1388,49816,9.5
1389,50079,7.6
1390,50462,10
1391,48067,5.5
1392,50314,9.7
1393,49431,6.7
1394,49177,9.7
1395,48107,8.7
1396,47175,9.3
1397,49124,6.5
1398,49384,6.9
1399,46907,8.7
1400,48967,9.4
1401,50200,10
1402,49148,5.9
1403,48250,9
1404,47808,10
1405,48375,10
1406,46924,7.9
1407,47025,8.5
1408,49983,9
1409,49317,8.2
1410,49908,5.4
1411,46539,6.2
1412,47750,5
1413,48370,8.7
1414,49518,10
1415,48380,10
1416,48781,7.2
1417,50439,9.4
1418,46673,8.1
1419,49000,6
1420,47063,6.8
1421,49738,5.2
1422,47910,6
1423,47042,7
1424,49486,5.7
1425,49616,6.8
1426,46639,8.2
1427,47670,9.8
1428,48140,9.8
1429,49370,8
1430,48101,5
1431,46888,7
1432,46909,5.1
1433,47537,10
1434,49350,5
1435,47341,9.4
1436,47072,10
1437,46951,6.2
1438,49658,6.5
1439,48939,10
1440,49166,10
1441,47949,8.4
1442,48011,6.9
1443,49718,7.3
1444,48129,9.8
1445,49729,7.4
1446,48256,8.3
1447,47732,8.2
1448,47908,7
1449,47003,8.3
1450,48662,7.4
1451,50490,8.8
1452,47995,8
1453,49575,5.5
1454,47305,9.3
1455,46876,9
1456,50347,10
1457,48111,5.1
1458,48802,5.9
1459,47698,10
1460,47496,9
1461,50120,7
1462,48519,10
1463,46983,9.5
1464,47578,10
1465,47305,8.7
1466,49573,5.1
1467,50027,9.5
1468,46995,7.7
1469,49904,9.2
1470,50436,5
1471,48302,9.4
1472,47553,6.6
1473,47671,9.4
1474,47801,5.4
1475,48108,5.3
1476,47582,5.1
1477,49049,7.2
1478,46941,9.2
1479,48596,10
1480,47554,8
1481,47410,7.8
1482,50056,10
1483,48299,5.6
1484,46936,9
1485,48674,9.7
1486,50063,8.6
1487,50549,7.8
1488,47626,10
1489,47306,9.7
1490,47597,6.8
1491,49411,10
1492,49358,6.3
1493,48860,9.5
1494,48072,10
1495,47506,6.3
1496,47328,9.6
1497,48354,9.5
1498,47510,8.4
1499,48473,8.5
1500,49338,5.7
1501,47688,8.6
1502,48547,8.6
1503,47396,10
1504,48992,5.1
1505,49579,10
1506,49336,10
1507,49867,6.6
1508,47504,10
1509,47098,9.3
1510,50180,10
1511,46782,5.1
1512,48704,8.2
1513,48635,10
1514,49567,7.8
1515,47042,6
1516,50312,6
1517,49881,5.4
1518,49839,9.9
1519,50511,5.4
1520,48395,9.1
1521,48584,8.6
1522,49285,10
1523,49920,5.2
1524,47867,5.2
1525,49267,5.5
1526,49577,7.5
1527,50265,9.7
1528,49020,5.2
1529,48277,6.2
1530,49616,7.5
1531,46981,5.2
1532,47317,10
1533,49283,9.3
1534,47265,10
1535,49600,5.9
1536,48593,10
1537,48477,5.9
1538,46984,6.6
1539,50461,7.6
1540,49627,10
1541,47620,9.1
1542,48314,8
1543,48387,6.5
1544,49900,7.4
1545,50555,9.6
1546,49177,8.7
1547,47618,6.5
1548,47436,5.6
1549,47932,5.9
1550,47526,7.1
1551,47557,8.1
1552,46771,5.7
1553,46769,7.1
1554,50318,7.3
1555,48733,7.5
1556,47772,6.4
1557,47542,9.1
1558,49123,7.1
1559,49126,9.3
1560,47674,9.5
1561,50082,10
1562,47981,6.7
1563,47232,5.7
1564,46744,5.2
1565,47226,6.6
1566,46844,7.3
1567,49216,8.8
1568,47842,6
1569,47758,8.7
1570,46770,6.4
1571,49989,6.7
1572,47989,5.6
1573,47720,8.3
1574,49305,5.1
1575,46762,8.4
1576,50065,10
1577,48589,6.8
1578,48373,7.5
1579,46927,5.3
1580,49503,10
1581,49161,9
1582,49201,7.3
1583,48506,5.6
1584,47138,8.6
1585,47559,8.4
1586,47584,6.6
1587,46831,9.9
1588,47403,7.2
1589,48516,5.8
1590,46816,9.9
1591,50178,7.6
1592,48686,6.2
1593,47384,6.9
1594,48202,7.8
