con,n_pro_viv,n_ren,ent,eda,zona,emp_ppal,ing7c,rama,ingocup
40200,30,3,15,32,2,2,1,2,6020
40203,4,1,15,59,2,2,1,4,5000
40204,38,3,15,24,2,1,1,3,1720
40208,78,1,15,54,2,2,2,1,8600
40208,78,3,15,25,2,2,2,4,11400
40210,44,1,15,44,2,1,1,3,2580
40227,70,2,15,35,2,2,2,3,7000
40228,120,3,15,26,2,1,3,4,14000
40231,21,4,15,25,2,2,1,4,6000
40233,34,1,15,43,2,1,2,4,10750
40234,35,1,15,42,2,2,1,4,6000
40240,89,1,15,39,2,2,3,4,15000
40248,100,1,15,48,2,1,2,2,12000
40250,11,1,15,49,2,2,1,3,6000
40257,19,4,15,21,2,2,2,3,8000
40261,121,3,15,29,2,1,1,3,4300
40262,180,2,15,32,2,1,1,4,5160
40269,13,1,15,41,2,1,2,4,8600
40278,29,1,15,57,2,1,2,3,8600
40282,15,1,15,39,2,2,2,4,12000
40282,15,3,15,17,2,1,1,4,2580
40285,8,2,15,21,2,1,1,4,1290
40285,67,1,15,53,2,1,1,4,800
40288,176,1,15,37,2,2,2,1,10750
40293,88,1,15,68,2,2,5,4,35000
40298,83,1,15,44,2,1,2,1,8600
40302,111,1,15,24,2,1,2,4,6665
40303,5,1,15,44,2,1,3,3,12900
40304,49,2,15,30,2,2,2,4,10000
40307,87,2,15,66,2,2,4,4,25800
40322,91,2,15,38,2,2,2,3,6450
40323,8,3,15,23,2,1,1,4,5160
40323,54,3,15,23,2,2,2,4,8600
40339,31,4,15,27,2,2,1,4,6000
40349,71,2,15,43,2,2,2,2,6235
40352,12,1,15,50,2,2,3,4,13000
40356,55,1,15,55,2,2,2,4,8000
40373,206,1,15,29,2,1,3,4,12900
40004,1,4,14,31,2,2,2,3,8600
40004,25,3,14,23,2,2,2,4,7800
40004,46,2,14,24,2,1,1,4,3870
40006,118,2,14,30,2,1,1,4,5375
40008,65,2,14,33,2,2,2,3,7000
40014,77,1,14,49,2,2,2,3,10750
40016,3,1,14,30,2,2,2,2,6880
40016,3,2,14,30,2,1,1,4,3440
40017,132,3,14,25,2,1,1,4,4300
40017,192,1,14,34,2,1,5,1,43000
40021,1,3,14,33,2,2,2,3,8600
40026,157,1,14,58,2,1,2,1,7740
40026,157,2,14,54,2,1,1,3,1720
40026,157,3,14,31,2,1,2,1,7740
40035,51,2,14,32,2,2,2,2,8600
40036,38,2,14,56,2,2,1,4,5600
40036,38,4,14,28,2,2,2,2,8400
40036,76,5,14,50,2,2,2,2,10750
40037,35,2,14,53,2,1,2,4,7740
40037,35,4,14,24,2,1,2,4,7740
40037,66,3,14,19,2,1,2,3,6880
40043,97,1,14,55,2,2,2,2,12040
40044,77,1,14,27,2,2,2,3,10750
40046,92,2,14,57,2,2,2,2,8600
40050,8,3,14,43,2,1,2,4,6450
40050,74,1,14,52,2,2,2,2,8600
40050,74,2,14,27,2,2,3,4,15050
40060,430,8,14,27,2,2,2,2,8000
40062,64,1,14,53,2,2,4,4,20000
40063,34,1,14,30,2,2,2,2,8400
40066,91,3,14,45,2,2,2,4,10750
40069,65,1,14,48,2,1,3,4,15050
40072,38,1,14,50,2,2,2,4,12400
40072,38,2,14,51,2,2,2,4,12400
40079,48,1,14,46,2,2,2,3,6450
40082,53,1,14,69,2,1,1,4,4300
40089,11,10,14,19,2,1,1,2,6020
40089,39,1,14,32,2,2,1,2,5600
40092,39,1,14,50,2,1,2,1,6450
40093,138,2,14,37,2,1,1,3,4000
40096,28,2,14,27,2,2,2,2,9200
40103,61,1,14,59,2,2,2,2,12000
40103,61,3,14,24,2,1,2,4,8600
40123,54,2,14,31,2,2,2,4,9460
40144,113,3,14,22,2,2,3,4,12900
40148,98,1,14,55,2,2,2,2,8000
40159,55,3,14,30,2,2,3,3,13000
40161,24,1,14,52,2,2,3,4,17200
40164,26,2,14,38,2,2,4,4,20000
40165,4,1,14,41,2,2,2,2,7740
40165,4,4,14,17,2,1,2,1,9030
40171,11,1,14,53,2,2,3,3,16000
40179,103,4,14,20,2,2,2,3,9600
40184,36,3,14,30,2,1,4,1,21500
40185,45,1,14,49,2,2,2,4,8400
40186,80,2,14,33,2,2,2,4,12040
40191,153,6,14,21,2,2,2,2,8800
40193,6,1,14,54,2,1,2,4,8600
40196,10,1,14,54,2,1,3,3,12900
40200,62,1,14,41,2,2,2,1,8000
40219,23,1,14,44,2,1,2,1,7740
40222,81,1,14,42,2,2,2,4,8600
40224,30,1,14,43,2,2,3,4,16000
40228,12,1,14,61,2,1,1,4,3440
40232,31,1,14,43,2,2,4,2,28000
40237,115,2,14,31,2,1,1,4,3870
40238,94,2,14,40,2,1,2,1,8600
40241,80,2,14,50,2,1,2,2,8600
40245,82,2,14,50,2,1,1,3,1290
40246,57,2,14,39,2,1,1,3,5590
40253,27,3,14,27,2,2,2,2,7000
40260,15,3,14,19,2,2,2,4,7000
40260,102,2,14,28,2,2,3,4,17000
40262,8,4,14,40,2,2,2,2,6880
40265,11,5,14,19,2,1,2,2,7310
40267,29,1,14,46,2,1,1,4,4300
40284,35,3,14,18,2,1,2,2,7310
40284,60,2,14,56,2,1,1,4,1290
40289,34,1,14,50,2,2,4,4,24000
40310,152,3,14,27,2,1,1,2,4300
40312,47,5,14,56,2,2,2,2,7000
40312,47,6,14,52,2,2,2,6,8000
40314,53,2,14,40,2,2,2,4,9000
40317,102,1,14,44,2,2,2,2,7000
40318,138,2,14,57,2,2,2,4,8600
40322,14,1,14,52,2,2,3,3,12900
40331,77,1,14,66,2,1,1,1,6020
40331,77,3,14,35,2,2,2,3,8800
40334,17,1,14,55,2,2,3,4,13000
40336,86,1,14,49,2,2,3,2,14000
40347,25,1,14,49,2,2,5,2,34400
40349,159,4,14,14,2,1,1,3,860
40349,232,1,14,29,2,2,2,4,8600
40353,13,4,14,34,2,1,2,2,8600
40355,108,4,14,27,2,2,3,1,17200
40357,102,2,14,34,2,2,2,2,10000
40362,26,1,14,33,2,2,2,4,6450
40366,30,2,14,41,2,2,2,2,10750
40381,15,4,14,21,2,2,1,2,6020
40382,79,1,14,34,2,2,4,2,25800
40386,49,3,14,32,2,2,2,4,12000
40386,55,3,14,50,2,2,2,2,7740
40390,78,1,14,38,2,1,2,2,12040
40392,106,1,14,48,2,2,2,2,7525
40393,52,2,14,49,2,2,3,2,13200
40401,119,1,14,45,2,1,2,1,6450
40403,16,3,14,21,2,1,1,7,6020
40403,57,3,14,23,2,2,1,3,4000
40406,70,3,14,42,2,2,4,4,20000
40416,84,1,14,37,2,1,4,3,20000
40419,102,6,14,18,2,1,1,4,6020
40425,101,1,14,37,2,1,3,4,12900
40428,19,2,14,23,2,1,2,3,6450
40430,98,1,14,47,2,2,2,2,9000
40431,41,3,14,20,2,1,1,2,6020
40431,54,1,14,62,2,2,2,4,9000
40440,107,3,14,27,2,2,2,3,9460
40449,40,1,14,52,2,2,2,3,10000
40455,135,1,14,41,2,1,2,3,8600
40457,17,1,14,34,2,1,2,2,8000
40465,110,5,14,42,2,2,2,2,7310
40480,1,3,14,27,2,1,1,3,4300
40484,26,5,14,70,2,1,1,4,2150
40485,157,3,14,19,2,1,2,3,6450
40486,27,1,14,36,2,2,2,4,8600
40486,104,3,14,28,2,2,1,4,6000
40499,75,3,14,28,2,2,2,3,12000
40507,38,1,14,31,2,2,3,4,15050
40515,76,1,14,50,2,1,2,4,10750
40516,78,1,14,63,2,1,2,7,9460
40521,55,1,14,30,2,2,3,2,12470
40521,99,3,14,33,2,2,3,4,13000
40525,66,1,14,30,2,2,4,4,20000
40525,66,2,14,26,2,2,3,4,18000
40530,35,1,14,58,2,1,2,4,10750
40544,140,5,14,18,2,1,2,1,9890
40546,71,1,14,39,2,2,2,2,9460
40546,71,3,14,16,2,1,1,3,5160
40548,128,9,14,19,2,1,1,4,3010
40550,123,1,14,32,2,2,5,4,40000
40553,85,1,14,42,2,1,2,2,8170
40567,86,4,14,27,2,2,2,2,6450
40572,61,1,14,36,2,2,3,4,13000
40578,65,1,14,37,2,2,2,3,6880
40578,65,2,14,36,2,2,1,4,3870
40579,30,4,14,25,2,1,2,4,10320
40583,61,4,14,28,2,2,2,1,12000
40597,46,1,14,37,2,2,4,2,23650
40598,17,2,14,20,2,1,1,3,5160
2922,57,1,19,40,2,2,2,2,8600
2977,78,1,19,48,2,2,3,2,14400
40002,91,2,19,31,2,1,2,4,7740
40004,28,1,19,44,2,2,3,2,17198
40009,37,3,19,29,2,2,3,3,12900
40014,31,1,19,33,2,1,4,1,21500
40014,6,3,19,52,2,1,2,2,10750
40018,29,1,19,69,2,1,2,2,8600
40021,236,2,19,20,2,2,2,2,8600
40025,11,2,19,45,2,1,1,4,2580
40026,90,2,19,42,2,1,3,4,12900
40030,58,4,19,26,2,2,2,3,7600
40030,78,4,19,23,2,2,2,2,8600
40041,35,1,19,52,2,2,2,2,10750
40042,1,1,19,33,2,2,2,2,8010
40042,76,1,19,44,2,2,2,1,6450
40044,81,3,19,41,2,1,2,1,10750
40045,147,2,19,23,2,1,1,4,5160
40046,86,1,19,40,2,2,1,4,6000
40046,113,1,19,48,2,2,2,4,8600
40050,85,2,19,26,2,1,3,4,12900
40052,35,2,19,34,2,2,2,2,10320
40052,87,1,19,53,2,2,2,2,8170
40053,8,2,19,45,2,2,3,4,16000
40056,8,2,19,49,2,1,3,4,15000
40056,8,6,19,19,2,2,2,3,10750
40066,78,1,19,29,2,1,2,4,6450
40070,105,3,19,18,2,1,2,3,10320
40070,50,3,19,25,2,1,1,4,4300
40070,34,1,19,25,2,1,3,3,12900
40078,30,4,19,18,2,2,1,3,6000
40082,14,1,19,59,2,2,2,4,9890
40083,79,4,19,24,2,2,2,3,6665
40085,47,6,19,22,2,2,2,2,10750
40087,83,4,19,19,2,2,2,2,7310
40090,92,1,19,51,2,2,2,2,9800
40090,124,3,19,20,2,2,2,2,7310
40094,70,2,19,27,2,2,2,2,10890
40105,8,1,19,56,2,1,1,4,1720
40108,120,4,19,28,2,2,2,2,9890
40108,68,2,19,50,2,1,2,3,8600
40110,37,1,19,49,2,2,2,2,12000
40112,78,3,19,45,2,2,2,3,9030
40112,78,4,19,21,2,2,2,2,7740
40112,5,1,19,42,2,2,3,1,12900
40124,7,3,19,23,2,2,4,4,20000
40124,107,1,19,47,2,2,5,4,51600
40129,58,1,19,44,2,2,2,4,8600
40131,86,4,19,25,2,2,3,4,18000
40138,68,6,19,30,2,2,3,4,13000
40140,98,1,19,31,2,1,3,2,15050
40149,368,4,19,23,2,1,1,4,2150
40179,10,2,19,38,2,1,2,4,6450
40182,112,4,19,19,2,1,2,3,6880
40187,36,2,19,33,2,2,2,4,10000
40187,73,1,19,42,2,2,4,4,20000
40188,47,1,19,71,2,2,2,1,8170
40190,58,2,19,38,2,1,1,4,2322
40190,100,2,19,44,2,2,2,4,6880
40195,73,1,19,64,2,2,4,4,30000
40196,3,1,19,46,2,1,3,4,12900
40196,22,4,19,19,2,1,2,3,8600
40204,59,1,19,53,2,1,3,3,15000
40204,88,3,19,26,2,2,2,2,8170
40211,121,1,19,42,2,2,4,4,21500
40221,93,1,19,55,2,2,2,3,9600
40228,72,1,19,45,2,2,1,3,6000
40233,63,1,19,41,2,2,2,2,7310
40247,26,3,19,37,2,2,2,4,8000
40253,98,3,19,15,2,1,1,4,3870
40256,88,1,19,73,2,2,4,4,30000
40257,9,2,19,47,2,1,1,3,2150
40257,117,2,19,35,2,2,2,4,11610
40267,71,1,19,32,2,2,5,3,131600
40269,106,3,19,36,2,2,2,2,8040
40270,9,1,19,51,2,2,3,2,12900
40277,56,3,19,25,2,2,2,4,7000
40281,34,3,19,46,2,2,3,2,16230
40283,56,1,19,37,2,2,3,1,12900
40286,22,1,19,42,2,2,2,2,8170
40294,113,2,19,39,2,2,1,2,5590
40302,5,3,19,43,2,1,1,4,1075
40310,122,1,19,31,2,2,5,4,32250
40315,93,3,19,28,2,2,2,3,8170
40319,45,2,19,56,2,1,1,2,2000
40327,89,1,19,44,2,1,1,3,2580
40330,124,1,19,46,2,2,2,1,10750
40337,67,3,19,31,2,2,3,4,14190
40339,237,1,19,36,2,2,5,1,70000
40344,70,1,19,69,2,2,1,4,5000
40348,10,1,19,40,2,2,5,2,60000
40355,21,2,19,34,2,1,1,3,1204
40362,58,1,19,43,2,2,2,3,10750
40364,14,2,19,46,2,1,3,1,12900
40364,90,2,19,24,2,2,2,2,12150
40380,67,2,19,40,2,1,1,4,430
40387,10,1,19,47,2,2,2,4,8000
40397,25,1,19,41,2,2,3,2,12900
40398,10,2,19,72,2,1,3,4,15050
40402,6,5,19,23,2,2,2,4,12000
40403,60,1,19,22,2,2,2,2,8600
40415,42,1,19,58,2,1,2,1,10750
40417,124,2,19,30,2,2,3,2,16770
40420,60,1,19,47,2,2,3,2,12900
40425,1,3,19,26,2,2,2,3,8600
40115,54,1,19,42,2,2,4,3,20000
40115,109,1,19,40,2,1,1,3,2580
40118,56,1,19,41,2,1,2,3,8600
40136,16,1,19,48,2,2,2,3,8170
40140,48,4,19,39,2,1,1,4,6000
40156,24,2,19,34,2,1,1,4,5375
40159,68,3,19,79,2,1,1,3,1290
40164,5,2,19,18,2,1,1,1,5160
40166,67,3,19,32,2,1,2,4,6400
40166,27,2,19,36,2,2,2,4,8170
40177,187,1,19,51,2,2,4,4,25000
40185,222,3,19,20,2,1,2,4,7740
40187,14,2,19,27,2,2,2,4,8600
40191,115,1,19,39,2,2,2,4,10320
40194,93,2,19,50,2,2,3,3,15200
40196,54,2,19,52,2,2,2,2,6450
40201,133,1,19,55,2,2,2,2,7740
40208,69,2,19,42,2,1,2,1,8600
40208,69,6,19,21,2,2,2,3,7000
40214,95,2,19,54,2,2,3,2,18060
40229,17,1,19,34,2,2,2,3,8600
40240,49,1,19,58,2,2,3,5,13240
40254,66,3,19,23,2,2,2,4,8600
40256,67,1,19,55,2,2,3,4,15000
40257,97,2,19,30,2,2,2,2,8600
40268,75,1,19,51,2,2,4,4,30000
40273,67,1,19,54,2,1,2,1,8600
40273,67,3,19,23,2,2,2,3,7740
40283,44,2,19,46,2,1,1,4,4515
40313,44,2,19,46,2,2,2,4,8600
40322,51,1,19,60,2,2,4,5,20000
40322,51,3,19,33,2,2,2,3,7310
40329,98,1,19,34,2,2,3,4,15000
40337,94,1,19,31,2,1,2,4,9000
40341,87,1,19,52,2,2,3,2,17200
40342,91,3,19,25,2,2,2,2,9890
40350,130,2,19,51,2,2,2,4,8000
40357,10,1,19,28,2,1,1,3,5160
40366,127,3,19,22,2,1,1,2,6000
40373,30,3,19,56,2,1,3,4,18000
40373,86,1,19,22,2,2,3,1,15050
40375,10,2,19,54,2,1,3,7,12900
40377,26,2,19,34,2,2,2,2,11700
40415,59,1,19,62,2,1,2,4,9890
40419,20,3,19,26,2,2,2,4,8000
40420,38,1,19,53,2,1,2,3,8600
40425,104,2,19,74,2,1,2,3,8600
40425,104,3,19,47,2,2,2,3,8600
40430,50,1,19,39,2,2,2,4,10000
40438,24,2,19,17,2,1,2,3,6880
40440,6,1,19,60,2,2,5,4,60000
40440,98,1,19,25,2,2,2,1,10750
40444,18,2,19,20,2,2,2,2,8600
40446,45,2,19,52,2,2,3,4,12900
40454,7,2,19,43,2,2,1,3,5375
40455,50,1,19,27,2,2,2,2,9460
40457,29,1,19,43,2,2,1,3,5590
40458,105,2,19,25,2,2,3,4,14000
40460,6,1,19,42,2,2,2,4,10750
40463,32,1,19,59,2,2,2,2,10535
40464,22,1,19,48,2,2,4,2,21500
40466,35,8,19,23,2,2,2,4,8000
40467,56,3,19,28,2,2,3,4,16000
40467,10,1,19,54,2,2,3,2,14040
40469,21,1,19,51,2,2,3,4,17200
40469,21,2,19,49,2,2,2,4,10750
40469,21,5,19,19,2,1,1,4,2150
40475,80,1,19,37,2,1,3,4,17200
40475,104,2,19,33,2,2,2,3,7654
40476,8,1,19,44,2,1,2,4,7740
40476,98,2,19,39,2,2,3,2,13868
40480,47,3,19,40,2,2,2,3,8600
40483,31,2,19,43,2,1,1,4,1935
40485,50,2,19,20,2,1,2,1,9095
40486,33,1,19,52,2,2,3,4,15050
40490,81,1,19,29,2,2,2,2,6880
40495,115,3,19,23,2,2,2,3,10750
40497,44,1,19,45,2,2,4,4,22000
40501,129,3,19,23,2,2,2,4,12040
40511,6,2,19,42,2,2,2,2,6450
40517,130,3,19,23,2,2,2,2,8170
40520,70,5,19,56,2,1,2,4,8600
40526,47,1,19,66,2,1,2,1,10750
40540,46,1,19,40,2,2,2,2,8815
40541,15,4,19,35,2,2,3,4,14000
40545,27,2,19,19,2,2,2,3,6880
40549,82,1,19,42,2,1,2,3,8600
40549,82,3,19,25,2,2,1,4,4000
40550,76,3,19,27,2,2,2,2,7740
40552,16,3,19,21,2,2,3,2,14340
40556,70,3,19,29,2,2,2,2,8600
40557,50,1,19,48,2,2,4,4,28000
40558,43,1,19,57,2,1,4,2,30100
40559,21,2,19,45,2,2,2,2,6450
40559,21,3,19,28,2,2,2,2,6450
40561,91,2,19,43,2,1,2,3,8600
40565,70,4,19,29,2,2,2,2,6880
40572,63,1,19,48,2,2,5,4,53750
40574,50,1,19,58,2,2,3,3,12599
40580,16,2,19,45,2,2,2,4,7740
40583,149,2,19,28,2,2,3,4,15000
40588,35,4,19,30,2,2,2,3,8600
40588,100,1,19,50,2,2,2,2,9460
40590,29,1,19,55,2,2,3,4,15050
40594,47,3,19,20,2,2,2,2,7310
40600,89,2,19,29,2,1,1,3,6000
40009,151,1,21,25,2,1,2,3,11000
40013,91,2,21,18,2,1,2,2,6450
40014,62,2,21,55,2,1,3,3,15050
40022,6,1,21,54,2,1,3,2,12900
40027,95,3,21,43,2,2,2,2,6880
40029,53,1,21,61,2,1,1,1,5160
40029,1,7,21,15,2,1,1,4,5160
40030,72,3,21,26,2,2,2,3,10600
40045,125,1,21,26,2,2,2,4,8170
40045,125,2,21,26,2,2,1,3,2580
40049,30,1,21,60,2,1,1,2,4730
40050,10,3,21,19,2,1,1,1,2580
40052,137,1,21,42,2,1,2,4,6880
40055,61,1,21,52,2,1,3,1,12900
40055,100,2,21,39,2,2,1,2,5160
40058,291,1,21,63,2,2,5,4,150000
40060,128,3,21,16,2,1,1,4,2150
40061,25,1,21,47,2,2,2,4,8000
40069,55,1,21,30,2,1,1,4,6000
40074,102,1,21,32,2,1,2,3,6450
40078,113,1,21,26,2,2,2,4,10750
40080,11,3,21,17,2,1,1,4,3440
40081,88,5,21,18,2,1,1,4,2580
40092,64,2,21,24,2,1,2,4,10750
40092,89,2,21,50,2,1,2,1,10750
40103,11,3,21,19,2,1,1,2,3440
40103,33,2,21,57,2,1,1,2,5160
40109,17,1,21,65,2,1,2,1,6880
40109,17,3,21,45,2,2,1,2,5160
40112,75,5,21,23,2,1,1,4,5160
40118,157,3,21,45,2,1,1,2,4300
40119,15,1,21,48,2,1,1,2,4085
40146,22,1,21,64,2,1,1,6,6000
40146,129,3,21,17,2,1,1,6,5160
40151,30,2,21,28,2,1,2,4,8600
40168,59,1,21,39,2,1,1,5,774
40173,21,2,21,56,2,2,2,3,10000
40181,30,1,21,75,2,2,1,3,6020
40181,61,3,21,29,2,1,1,4,3440
40190,68,1,21,50,2,2,2,3,10000
40208,172,2,21,47,2,1,2,1,6450
40210,7,1,21,46,2,2,1,4,6000
40210,7,3,21,26,2,2,2,4,8600
40211,52,2,21,50,2,1,1,4,5160
40213,79,2,21,41,2,2,1,3,6000
40213,102,1,21,33,2,2,2,2,11739
40215,34,3,21,46,2,2,3,3,13760
40220,79,1,21,58,2,1,2,4,6450
40226,62,7,21,23,2,1,2,2,8600
40227,12,1,21,67,2,1,1,4,3870
40230,67,1,21,61,2,1,1,6,1032
40237,119,3,21,29,2,1,1,4,4300
40237,57,1,21,51,2,1,2,2,8600
40238,34,2,21,43,2,1,2,3,8600
40239,127,1,21,65,2,1,1,3,1800
40249,10,5,21,26,2,2,1,4,6000
40257,100,1,21,45,2,1,2,1,10750
40266,56,2,21,42,2,2,2,4,10000
40267,32,2,21,20,2,1,1,3,3870
40270,53,1,21,50,2,2,2,2,7310
40289,67,1,21,49,2,1,1,7,5590
40289,27,1,21,53,2,2,3,2,17200
40289,27,2,21,56,2,2,2,4,10000
40291,48,2,21,16,2,1,1,3,6020
40292,7,1,21,28,2,2,3,4,15600
40294,97,1,21,63,2,1,1,4,3870
40295,117,1,21,55,2,1,1,4,2150
40299,134,2,21,18,2,1,1,4,5160
40300,50,1,21,44,2,2,2,4,12000
40300,68,1,21,45,2,1,1,3,4000
40302,69,2,21,55,2,1,1,3,1600
40312,26,3,21,22,2,1,2,5,6450
40319,4,2,21,48,2,1,1,4,5160
40320,103,1,21,64,2,1,1,4,1720
40321,7,1,21,43,2,1,1,4,5418
40330,108,1,21,53,2,1,1,3,1000
40335,42,1,21,24,2,2,2,4,9030
