id,edad,estatura
277,5,108.01
278,2,88.43
279,3,91.79
280,4,106.18
281,4,99.1
282,3,91.61
283,6,112.13
284,3,93.64
285,4,105.65
286,6,115.04
287,5,112.17
288,4,94.05
289,3,101.08
290,4,96.07
291,2,91.75
292,2,86.49
293,6,124
294,5,100.27
295,6,121.83
296,6,117.55
297,6,115.02
298,3,96.67
299,5,114.63
300,6,119.08
301,3,92.56
302,6,123.1
303,6,108.25
304,4,98.78
305,3,99.38
306,3,95.01
307,5,107.98
308,2,83.14
309,5,102.62
310,4,102.13
311,5,116.17
312,5,111.14
313,6,124.12
314,5,116.26
315,5,110.53
316,4,101.93
317,2,80.07
318,2,88.38
319,2,85
320,5,103
321,2,80.78
322,6,111.81
323,6,110.54
324,5,114.09
325,4,107.3
326,4,106.95
327,3,88.53
328,5,114.6
329,6,121.68
330,2,91.44
331,6,116.22
332,2,84.08
333,5,103.03
334,5,115.41
335,4,95.48
336,6,109.83
337,3,99.19
338,5,117.09
339,2,94.53
340,6,123.57
341,6,122.21
342,6,113.48
343,2,83.74
344,5,105.47
345,3,102.74
346,5,111.37
347,6,115.03
348,2,83.77
349,2,92.91
350,3,88.1
351,5,109.98
352,2,89.57
353,3,93.39
354,5,115.01
355,4,96.63
356,2,82.88
357,2,83.83
358,4,101.25
359,6,117.5
360,4,106.48
361,5,108.77
362,6,123.27
363,5,102.59
364,4,101.96
365,5,111.44
366,2,94.35
367,5,116.48
368,5,113.37
369,4,106.9
370,6,123.56
371,4,108.65
372,5,114.08
373,3,99.03
374,3,98.7
375,6,111.8
376,4,100.14
377,4,95.04
378,6,108.34
379,6,118.9
380,2,94.7
381,5,114.92
382,5,111.69
383,3,102.6
384,3,98.04
385,5,102.32
386,3,96.88
387,4,102.84
388,2,90.71
389,2,91.36
390,6,118.04
391,2,94.93
392,3,99.47
393,3,93.44
394,2,82.69
395,2,85.76
396,5,113.57
397,5,105.66
398,6,112.32
399,2,84
400,5,102.77
401,5,115.41
402,6,108.08
403,5,104.09
404,6,115.71
405,2,94.97
406,6,114.17
407,6,110.51
408,6,113.66
409,2,87.34
410,3,100.94
411,4,108.05
412,2,93.73
413,6,118.31
414,2,90.04
415,6,107.69
416,4,95.86
417,5,114.13
418,6,117.32
419,4,107.98
420,5,109.56
421,3,99.94
422,3,99.02
423,2,91.2
424,5,116.87
425,5,108.34
426,2,80.43
427,2,92.57
428,2,94.08
429,2,84.38
430,4,95.03
431,2,84.6
432,6,111.3
433,3,88.27
434,2,93.67
435,6,107.93
436,6,108.88
437,5,108.25
438,2,90.52
439,5,106.66
440,3,99.71
441,2,91.75
442,5,104.75
443,3,101.32
444,6,112.76
445,2,81.02
446,2,92.52
447,2,90.08
448,5,108.22
449,6,118.92
450,5,117.57
451,6,116.94
452,5,106.84
453,4,102.49
454,4,101.24
455,5,103.52
456,4,105.45
457,3,102.73
458,5,116.1
459,3,102.48
460,5,115.88
461,6,114.67
462,5,112.67
463,5,105.71
464,6,113.72
465,3,94.96
466,5,100.46
467,2,83.85
468,6,116.92
469,2,93.08
470,6,112.16
471,3,103.42
472,4,99.19
473,2,86.8
474,2,84.91
475,4,103.81
476,5,112.25
477,6,108.52
478,5,104.46
479,5,115.44
480,4,103.81
481,4,98.14
482,3,91.85
483,3,90.9
484,4,108.21
485,5,110.61
486,2,81.71
487,4,102.64
488,4,103.3
489,2,88.91
490,2,90.46
491,5,117.5
492,6,113.13
493,5,116.32
494,3,95.44
495,3,92.35
496,3,100.19
497,4,104.59
498,3,99.25
499,4,96.81
500,3,88.41
501,5,115.24
502,6,118.89
503,3,93.81
504,6,116.9
505,3,93.07
506,5,115.24
507,2,93.3
508,5,108.15
509,6,112.1
510,4,106.42
511,2,87.36
512,4,100.72
513,5,117.15
514,3,92.3
515,4,101.33
516,2,88.36
517,3,97.96
518,6,121.14
519,3,92.33
520,5,117.52
521,6,124.34
522,6,108.01
523,6,107.3
524,4,99.27
525,4,95.85
526,6,111.13
527,2,89.12
528,6,111.69
529,3,88.55
530,6,124.22
531,5,112.97
532,3,93.15
533,3,97.55
534,6,110.76
535,3,94.84
536,4,94.98
537,6,111.26
538,4,101.97
539,5,105.04
540,6,109.98
541,2,89.14
542,3,94.67
543,3,99.97
544,4,108.51
545,2,91.09
546,6,120.45
547,6,124.62
548,2,84.41
549,3,95.22
550,4,100.37
551,6,112.56
552,4,98.21
553,6,112.65
554,2,83.39
555,3,90.38
556,6,110.91
557,6,118.06
558,4,97.67
559,6,112.82
560,3,100.4
561,4,99.07
562,2,84.95
563,4,98.88
564,5,109
565,6,119.27
566,4,97.86
567,2,84.53
568,2,82.85
569,4,96.84
570,2,82.68
571,2,94.3
572,5,112.58
573,6,121.18
574,3,88.58
575,5,101.33
576,3,89.95
577,4,105.87
578,3,99.22
579,2,92.85
580,5,110.14
581,3,98.55
582,2,84.33
583,3,90.17
584,6,107.03
585,3,91.79
586,2,88.73
587,3,100.4
588,4,108.93
589,5,102.72
590,6,115.77
591,2,85.45
592,3,89.51
593,6,111.03
594,6,117.54
595,2,94.36
596,6,110.48
597,3,88.09
598,3,97.57
599,6,109.03
600,6,116.07
601,2,90.39
602,6,123.05
603,2,92.05
604,6,112.23
605,4,105.53
606,2,92.74
607,5,103.86
608,6,119.11
609,6,117.88
610,6,114.46
611,3,103.91
612,4,106.47
613,4,107.05
614,3,100.07
615,2,87.23
616,4,103.26
617,2,88.34
618,5,101.82
619,5,106.57
620,2,88.07
621,6,110.66
622,6,124.79
623,6,121.68
624,2,81.92
625,3,93.17
626,3,89.16
627,3,103.96
628,5,117.97
629,6,119.84
630,5,108.67
631,5,113.56
632,6,110.96
633,2,83.39
634,3,89.47
635,6,115.22
636,2,90.14
637,4,103.15
638,4,103.36
639,3,96.54
640,5,114.51
641,6,124.23
642,3,100.62
643,2,93.5
644,6,120.05
645,4,97.03
646,5,116.01
647,4,102.82
648,5,109.04
649,2,80.07
650,6,124.71
651,3,88.81
652,2,94.79
653,2,81.64
654,5,114.61
655,2,80.75
656,4,108.87
657,6,116.18
658,3,90.1
659,5,100.85
660,2,84.26
661,4,103.05
662,4,94.79
663,6,114.66
664,6,116.41
665,6,120.2
666,2,83.39
667,5,110.86
668,3,100.59
669,4,95.63
670,5,102.96
671,3,100.74
672,3,98.82
673,6,119.03
674,2,85.77
675,2,94.93
676,6,120.83
677,5,109.31
678,4,98.22
679,3,97.11
680,3,92.98
681,6,122.34
682,5,116.22
683,3,93.9
684,3,103.88
685,2,82.36
686,6,112.04
687,4,96.09
688,2,94.54
689,3,95.94
690,6,116.38
691,5,110.35
692,4,104.44
693,4,97.77
694,5,106.19
695,3,90.72
696,6,124.31
697,4,104.45
698,3,94.61
699,6,121.96
700,4,109.51
701,6,119.34
702,6,116.01
703,6,116.21
704,2,94.48
705,5,114.38
706,6,112.11
707,2,85.25
708,4,94.23
709,4,105.98
710,5,100.93
711,4,109.02
712,2,82.71
713,5,115.73
714,6,115.16
715,5,103.35
716,2,92.97
717,3,95.62
718,4,109.96
719,3,96.07
720,4,99.16
721,6,114.77
722,3,92.71
723,6,115.13
724,3,98.64
725,3,95.21
726,3,95.64
727,2,82.71
728,4,108.88
729,6,124.08
730,3,98.2
731,3,89.29
732,6,111.37
733,3,98.83
734,3,94.42
735,3,98.43
736,4,104.39
737,6,116.36
738,6,112.54
739,6,107.85
740,5,115.86
741,3,89.06
742,6,107.68
743,6,113.61
744,2,81.57
745,3,96.02
746,6,118.55
747,4,107.55
748,3,96.5
749,2,86.12
750,4,94.21
751,3,88.54
752,2,81.77
753,4,103.87
754,3,92.35
755,6,109.99
756,5,104.9
757,6,109.2
758,6,111.15
759,3,91
760,6,116.08
761,5,110.23
762,2,81.13
763,5,103.13
764,3,102.99
765,4,108.99
766,3,96.58
767,6,119.94
768,4,103.88
769,3,91.65
770,2,89.75
771,6,112.94
772,6,118.7
773,2,83.83
774,6,107.15
775,6,115.95
776,6,112.27
777,5,103.96
778,6,113.79
779,2,87.48
780,5,106.23
781,3,98.4
782,5,109.99
783,2,93.37
784,5,102.88
785,5,115.13
786,6,118.6
787,4,95.96
788,4,107.81
789,3,101.68
790,4,107.93
791,6,112.38
792,4,108.29
793,3,88.9
794,4,105.56
795,4,99.25
796,4,96.14
797,3,97.1
798,4,96.4
799,4,108.74
800,3,103.91
801,4,94.07
802,6,119.48
803,4,97.85
804,6,119.37
805,3,88.33
806,2,94.78
807,5,105.07
808,4,94.15
809,3,92.18
810,2,87.82
811,2,91.48
812,6,112.92
813,4,101.25
814,6,115.4
815,5,115.3
816,5,114.08
817,3,89.5
818,3,98.64
819,3,103.88
820,3,102.92
821,6,113.2
822,6,114.83
823,5,105.61
824,5,117.76
825,2,89.02
826,3,102.94
827,6,120.99
828,4,106.06
829,3,93.75
830,3,100.62
831,2,81.75
832,4,109.09
833,2,84.57
834,3,99.48
835,5,104.73
836,4,101.61
837,2,86.84
838,3,99.09
839,6,120.26
840,5,104.52
841,2,91.63
842,2,94.53
843,6,111.02
844,2,87.94
845,4,100.67
846,5,104.05
847,2,90.28
848,4,95.68
849,2,85.37
850,3,95.3
851,6,109.54
852,6,114.84
853,3,88.78
854,6,120.33
855,5,101.41
856,4,94.88
857,3,88.44
858,2,84.53
859,2,82.52
860,6,118.11
861,5,106.57
862,6,116.09
863,2,94.5
864,2,90.1
865,3,95.33
866,2,83.06
867,3,90.69
868,4,105.84
869,3,100.6
870,2,86.33
871,6,124.81
872,2,85.92
873,6,111.24
874,3,102.41
875,2,84.53
876,3,102.65
877,3,95.69
878,2,88.84
879,4,108.08
880,5,114.9
881,3,92.08
882,3,103.82
883,4,100.15
884,3,90.01
885,6,124.5
886,5,101
887,6,109.49
888,3,88.24
889,5,115.55
890,3,100.63
891,6,109.91
892,2,92.78
893,5,108.61
894,6,122.64
895,4,95.57
896,5,113.15
897,4,104.69
898,2,94.05
899,3,103.55
900,3,97.92
901,4,108.5
902,4,95.85
903,5,107.07
904,4,103.42
905,6,118.94
906,4,98.94
907,4,105.23
908,3,95.7
909,5,115.37
910,6,118.72
911,4,105.47
912,2,92.39
913,5,116.19
914,6,123.88
915,4,100.63
916,5,117.22
917,3,101.64
918,2,93.09
919,5,112.19
920,4,106.74
921,3,102.94
922,3,90.24
923,5,104.82
924,6,117.59
925,5,100.17
926,6,108.08
927,6,124.95
928,3,100.25
929,4,100.41
930,5,114.19
931,3,102.03
932,5,107.33
933,2,86.99
934,6,114.52
935,6,121.44
936,3,90.05
937,5,101.07
938,4,100.54
939,5,105.01
940,3,90.36
941,5,113.97
942,3,98.33
943,6,109.59
944,6,123.89
945,6,114.03
946,4,99.51
947,6,110.18
948,3,99.25
949,2,81.52
950,6,109.61
951,3,92.84
952,5,102.79
953,4,105.04
954,5,112.05
955,6,112.56
956,3,100.4
957,6,111.76
958,2,80.14
959,6,119.72
960,5,105.02
961,5,114.22
962,2,93.27
963,5,101.66
964,6,114.04
965,3,97.82
966,3,90.26
967,4,96.91
968,3,88.53
969,5,109.66
970,3,96.85
971,2,93.87
972,2,80
973,5,107.19
974,3,100.12
975,3,102.74
976,4,94.63
977,4,99.53
978,5,117.9
979,3,94.35
980,2,82.11
981,5,117.92
982,2,91.76
983,5,104.66
984,5,115.77
985,3,101.45
986,6,107.99
987,3,89.95
988,2,85.97
989,5,110.51
990,4,104
991,5,115.22
992,2,88.6
993,4,94.79
994,3,99.24
995,3,98.44
996,3,89.23
997,2,92.34
998,2,86.13
999,5,100.66
1000,5,106.15
1001,3,88.54
1002,5,110.33
1003,5,105.06
1004,6,113.3
1005,4,108.28
1006,6,122.78
1007,6,114.41
1008,6,118.97
1009,2,86.58
1010,4,95.37
1011,5,110.09
1012,2,90.77
1013,5,108.55
1014,2,83.31
1015,3,95.35
1016,5,115.98
1017,3,92.51
1018,5,101.97
1019,6,113.18
1020,3,103.9
1021,4,100.61
1022,4,100.97
1023,2,92.66
1024,2,85.45
1025,6,112.32
1026,2,86.17
1027,3,97.78
1028,5,111.77
1029,4,104.54
1030,6,115.52
1031,4,94.51
1032,2,90.23
1033,3,99.88
1034,4,107.26
1035,2,84.67
1036,3,96
1037,5,110.25
1038,6,112.71
1039,4,102.12
1040,6,113.89
1041,4,100.35
1042,6,120.53
1043,5,103.33
1044,5,107.04
1045,3,96.78
1046,2,86.19
1047,4,95.4
1048,4,103.58
1049,6,110.18
1050,5,114.54
1051,5,116.96
1052,2,81.48
1053,2,85.35
1054,4,109.4
1055,2,86.34
1056,3,99.91
1057,2,87.43
1058,6,124.32
1059,4,102.97
1060,6,110.74
1061,4,109.5
1062,5,110.2
1063,3,95.87
1064,5,106.68
1065,6,116.06
1066,6,107.39
1067,3,97.59
1068,3,96.27
1069,3,97.82
1070,4,97.94
1071,5,116.33
1072,5,117.19
1073,5,112.9
1074,3,99.25
1075,5,116.27
1076,2,81.06
1077,2,82.04
1078,6,111.14
1079,3,96.26
1080,4,106
1081,2,90.23
1082,6,114.1
1083,5,112.2
1084,4,99.86
1085,4,107.76
1086,2,87.59
1087,5,112.31
1088,4,108.57
1089,5,112.91
1090,6,111.25
1091,5,100.84
1092,6,113.26
1093,5,109.17
1094,4,98.89
1095,4,99.14
1096,6,119.04
1097,3,91.57
1098,2,84.21
1099,6,118.22
1100,5,104.09
1101,4,108.23
1102,3,102.91
1103,4,105.7
1104,4,107.99
1105,6,115.99
1106,2,86.51
1107,2,93.08
1108,4,94.9
1109,2,80.02
1110,2,88.02
1111,5,117.48
1112,6,117.72
1113,4,94.04
1114,6,111.52
1115,4,103.56
1116,4,106.31
1117,6,112.61
1118,3,88.39
1119,6,113.19
1120,2,94.81
1121,4,109.43
1122,2,81.36
1123,2,81.44
1124,5,108.61
1125,3,89.33
1126,5,104.23
1127,4,103.73
1128,4,103.39
1129,6,121.08
1130,4,104.45
1131,6,109.49
1132,2,81.08
1133,2,93.56
1134,4,101.99
1135,3,101.1
1136,4,100.92
1137,2,85.53
1138,6,107.66
1139,2,83.12
1140,5,117.14
1141,4,102.01
1142,4,102.73
1143,6,114.59
1144,4,109.7
1145,4,105.61
1146,4,97.13
1147,2,89.69
1148,2,81.47
1149,5,110.47
1150,2,82.2
1151,5,111.91
1152,6,122.84
1153,3,98.85
1154,6,113.52
1155,4,98.24
1156,6,117.95
1157,2,88.33
1158,4,103.15
1159,3,93.2
1160,2,88.26
1161,4,107.25
1162,5,102.17
1163,2,85.69
1164,3,95.23
1165,3,97.97
1166,4,107.12
1167,6,119.17
1168,3,90.7
1169,5,107.12
1170,4,101.69
1171,2,93.92
1172,5,100.23
1173,2,81.82
1174,2,90.59
1175,6,124.87
1176,2,86.44
1177,4,94.63
1178,5,101.29
1179,6,118.54
1180,5,111.35
1181,3,92.73
1182,6,109.86
1183,2,85.27
1184,2,82.87
1185,6,124.38
1186,2,80.44
1187,3,101.64
1188,2,90.71
1189,2,93.7
1190,5,115.49
1191,3,90.82
1192,6,122.1
1193,5,108.65
1194,3,100.98
1195,4,109.94
1196,2,89.7
1197,5,108.54
1198,5,106.02
1199,5,112.47
1200,5,101.37
1201,4,98.26
1202,3,90.67
1203,6,124.94
1204,4,103.64
1205,5,103.56
1206,6,122.02
1207,6,119.92
1208,4,102.27
1209,6,116.92
1210,4,104.78
1211,3,93.96
1212,4,94.76
1213,6,118.96
1214,2,93.42
1215,4,108.63
1216,4,107.94
1217,3,93.53
1218,6,114.93
1219,4,104.04
1220,4,102.31
1221,6,114.96
1222,3,92.05
1223,5,117.62
1224,3,101.55
1225,3,89.08
1226,5,117.13
1227,4,103.54
1228,6,123.82
1229,6,107.09
1230,5,111.52
1231,5,117.33
1232,5,106.23
1233,4,95.35
1234,5,116.05
1235,6,107.32
1236,5,102.42
1237,4,102.12
1238,5,106.88
1239,5,110.87
1240,4,108.54
1241,6,109.87
1242,4,104.33
1243,6,120.73
1244,3,97.78
1245,3,100.53
1246,2,83.86
1247,6,120.74
1248,6,121.33
1249,6,113.65
1250,3,95.88
1251,5,102.85
1252,5,104.9
1253,2,86.1
1254,3,90.94
1255,6,111.04
1256,3,97.3
1257,3,88.68
1258,5,109.34
1259,4,102.36
1260,2,91.48
1261,6,107.76
1262,6,109.86
1263,2,83.76
1264,2,86.2
1265,4,96.73
1266,6,120.12
1267,6,118.67
1268,5,103.26
1269,6,120.15
1270,3,99.36
1271,4,100.47
1272,3,101.66
1273,4,108.6
1274,3,100.54
1275,6,122.93
1276,5,113.63
1277,3,99.44
1278,3,91.74
1279,2,86.74
1280,2,85.74
1281,2,91.09
1282,2,89.48
1283,3,88.49
1284,6,114.39
1285,5,105.59
1286,5,101.35
1287,4,101.8
1288,5,106.99
1289,3,92.07
1290,2,88.25
1291,3,88.33
1292,4,109.25
1293,2,82.6
1294,3,95.8
1295,3,93.64
1296,6,108.16
1297,2,80.03
1298,6,123.46
1299,3,89.34
1300,3,89.99
1301,3,91.47
1302,2,88.26
1303,5,104.02
1304,5,110.81
1305,6,122.66
1306,4,96.86
1307,6,119.27
1308,4,103.78
1309,2,85.04
1310,3,103.88
1311,3,99.29
1312,6,110.85
1313,6,119.11
1314,2,89.61
1315,6,121.57
1316,4,107.69
1317,4,100.66
1318,5,116.89
1319,5,107.19
1320,4,94.45
1321,5,103.78
1322,3,90.6
1323,3,96.63
1324,3,102.92
1325,3,103.47
1326,3,94.86
1327,6,107.98
1328,2,93.8
1329,6,107.36
1330,3,103.22
1331,3,89.51
1332,2,93.07
1333,5,113.77
1334,4,98.86
1335,4,95.75
1336,3,101.76
1337,3,103.44
1338,4,100.92
1339,6,112.59
1340,2,85.08
1341,2,87.57
1342,6,115.58
1343,6,123.69
1344,6,110.43
1345,2,85.45
1346,2,85.98
1347,6,109.78
1348,4,109.4
1349,2,85.21
1350,6,111.87
1351,6,108.72
1352,2,91.99
1353,2,90.52
1354,5,102.66
1355,4,98.93
1356,4,97.58
1357,3,98.34
1358,4,97.91
1359,4,98.99
1360,4,102.14
1361,3,100.16
1362,4,100.64
1363,3,103.17
1364,3,100.88
1365,4,109.61
1366,2,80.36
1367,5,112.15
1368,4,97.31
1369,2,90.6
1370,4,100.19
1371,3,92.26
1372,4,107.66
1373,6,114.8
1374,2,82.83
1375,4,102.99
1376,4,102.14
1377,6,111.28
1378,5,109.88
1379,3,92.64
1380,4,96.74
1381,3,101.23
1382,3,88.98
1383,2,88.84
1384,3,98.32
1385,6,123.56
1386,2,86.36
1387,5,104.17
1388,3,100.47
1389,3,92.88
1390,4,100.67
1391,3,89.1
1392,3,90.2
1393,6,121.12
1394,6,113.18
1395,6,109.46
1396,4,106.16
1397,6,107.63
1398,5,111.96
1399,6,114.27
1400,4,107.69
1401,2,83.28
1402,2,91.13
1403,2,87.67
1404,6,117.79
1405,3,92.18
1406,5,115.19
1407,6,124.09
1408,5,106.99
1409,3,94.2
1410,5,115.71
1411,5,116.43
1412,5,115.32
1413,6,124.04
1414,5,105.43
1415,4,94.96
1416,4,100.98
1417,5,103.58
1418,2,82.4
1419,6,120.26
1420,5,104.5
1421,6,124.41
1422,3,101.97
1423,6,115.44
1424,3,94.3
1425,2,86.85
1426,4,102.69
1427,6,118.41
1428,5,113.58
1429,6,110.75
1430,5,116.34
1431,6,119.49
1432,2,91.97
1433,2,94.28
1434,2,91.27
1435,3,102.71
1436,3,101.9
1437,3,99.11
1438,5,103.29
1439,3,103.26
1440,4,106.6
1441,4,95.15
1442,2,89.59
1443,4,105.71
1444,6,112.62
1445,2,85.81
1446,4,100.7
1447,3,92.42
1448,3,100.49
1449,3,98.76
1450,4,104.73
1451,4,98.8
1452,5,108.32
1453,6,112.94
1454,2,86.02
1455,5,113.09
1456,5,109.97
1457,2,87.63
1458,6,116.05
1459,2,87.85
1460,3,93.88
1461,3,97.08
1462,6,124.19
1463,4,106.37
1464,5,103.64
1465,2,82.66
1466,5,115.58
1467,6,123.13
1468,5,102.84
1469,4,107.78
1470,5,114.04
1471,6,119.14
1472,2,92.59
1473,3,103.66
1474,3,92.74
1475,2,87.87
1476,2,88.22
1477,2,84.02
1478,5,116.81
1479,2,92.86
1480,2,86.63
1481,2,91.71
1482,4,108.43
1483,3,92.09
1484,3,89.66
1485,5,102.34
1486,4,101.45
1487,5,115.06
1488,3,88.14
1489,6,107.62
1490,3,90.64
1491,4,95
1492,3,100.46
1493,3,97
1494,6,113.46
1495,2,86.37
1496,4,95.86
1497,2,91.71
1498,2,83.69
1499,5,116.38
1500,5,103.65
1501,3,102.76
1502,2,94.22
1503,6,124.45
1504,4,100.75
1505,6,107.71
1506,2,88.38
1507,6,123.03
1508,6,107.54
1509,6,115.49
1510,4,97.15
1511,4,108.25
1512,4,96.34
1513,5,113.49
1514,3,100.17
1515,5,106.79
1516,6,111.87
1517,6,116.25
1518,5,105.94
1519,5,106.85
1520,6,113.69
1521,4,100.14
1522,2,81.36
1523,5,115.04
1524,6,115.89
1525,4,99.37
1526,5,106.23
1527,3,99.75
1528,6,113.07
1529,5,102.37
1530,4,108.78
1531,6,111.44
1532,6,114.29
1533,5,102.97
1534,6,119.55
1535,3,97.25
1536,5,100.32
1537,3,97.73
1538,3,103.66
1539,3,101.95
1540,3,89.3
1541,6,110.25
1542,5,109.2
1543,5,102.88
1544,5,114.65
1545,4,108.17
1546,2,81.68
1547,3,102.11
1548,4,97.96
1549,6,122.93
1550,4,95.91
1551,4,106.25
1552,3,97.73
1553,5,103.45
1554,3,101.67
1555,4,94.36
1556,5,113
1557,5,116.61
1558,6,120.14
1559,6,119.87
1560,4,106.79
1561,4,99.34
1562,3,91.41
1563,4,101.64
1564,3,94.2
1565,6,118.3
1566,6,120.77
1567,2,82.64
1568,5,108.77
1569,3,95.32
1570,6,113.18
1571,2,88.76
1572,5,114.05
1573,5,101.63
1574,6,112.25
1575,5,105.27
1576,4,107.09
1577,2,86.82
1578,2,82.13
1579,3,95.93
1580,2,89.18
1581,3,88.57
1582,3,96.38
1583,2,82.61
1584,5,113.65
1585,2,85.45
1586,5,114.43
1587,2,80.74
1588,3,103.71
1589,3,103.72
1590,4,102.52
1591,3,89.07
1592,5,111.3
1593,5,108.93
1594,5,109.92
1595,3,93.21
1596,2,87.94
1597,3,98.38
1598,2,88.65
1599,2,80.73
1600,3,96.12
1601,5,105.98
1602,4,101.74
1603,4,106.38
1604,6,113.61
1605,4,94.55
1606,4,102.34
1607,6,117.05
1608,5,108.15
1609,3,91.61
1610,3,96.12
1611,5,101.56
1612,2,84.19
1613,5,106.79
1614,4,106.81
1615,6,123.02
1616,2,88.18
1617,6,114.98
1618,3,97.51
1619,2,82.71
1620,4,102.5
1621,4,95.62
1622,4,96.45
1623,5,116.58
1624,2,89.14
1625,4,108.1
1626,6,112.98
1627,4,102.27
1628,5,106.22
1629,5,107.13
1630,2,90.11
1631,3,97.37
1632,6,121.86
1633,2,87.16
1634,4,104.62
1635,4,102.76
1636,2,92.91
1637,2,92
1638,2,92.67
1639,4,101.32
1640,2,92.4
1641,6,114.98
1642,6,110.31
1643,6,124.92
1644,3,92.21
1645,3,91.82
1646,4,102.56
1647,4,103.85
1648,6,108.56
1649,3,92.12
1650,2,80.61
1651,5,100.61
1652,4,104.21
1653,3,103.8
1654,4,98.41
1655,2,90.11
1656,5,113.14
1657,4,104.14
1658,2,92.36
1659,3,95.13
1660,5,103.39
1661,4,102.42
1662,5,117.95
1663,4,106.83
1664,2,86.67
1665,5,105.58
1666,2,87.35
1667,4,98.1
1668,2,81.88
